sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-03-06;;;1551,20;1569,75;1551,20;1559,94;;1;;0;
2018-03-05;;;1525,80;1548,03;1524,26;1547,94;;1;;0;
2018-03-02;;;1559,50;1559,50;1525,37;1526,46;;1;;0;
2018-03-01;;;1583,23;1583,23;1560,56;1560,56;;1;;0;
2018-02-28;;;1586,86;1594,51;1580,95;1583,39;;1;;0;
2018-02-27;;;1588,21;1595,35;1583,52;1588,23;;1;;0;
2018-02-26;;;1578,87;1591,59;1578,87;1586,96;;1;;0;
2018-02-23;;;1574,51;1580,14;1567,95;1577,11;;1;;0;
2018-02-22;;;1573,37;1575,16;1556,50;1573,88;;1;;0;
2018-02-21;;;1569,32;1577,74;1557,71;1575,12;;1;;0;
2018-02-20;;;1550,91;1570,36;1550,91;1569,68;;1;;0;
2018-02-19;;;1558,37;1562,46;1549,01;1550,86;;1;;0;
2018-02-16;;;1545,46;1557,29;1545,46;1556,93;;1;;0;
2018-02-15;;;1533,30;1550,28;1533,30;1542,72;;1;;0;
2018-02-14;;;1516,33;1533,70;1503,37;1532,15;;1;;0;
2018-02-13;;;1522,14;1527,17;1513,23;1513,27;;1;;0;
2018-02-12;;;1501,50;1531,86;1501,50;1521,62;;1;;0;
2018-02-09;;;1518,69;1523,45;1499,74;1500,18;;1;;0;
2018-02-08;;;1550,44;1550,44;1519,77;1519,77;;1;;0;
2018-02-07;;;1513,57;1555,29;1513,57;1551,15;;1;;0;
2018-02-06;;;1535,28;1535,28;1487,95;1511,60;;1;;0;
2018-02-05;;;1581,69;1581,69;1545,56;1546,33;;1;;0;
2018-02-02;;;1601,77;1602,02;1581,04;1584,79;;1;;0;
2018-02-01;;;1596,00;1610,27;1596,00;1601,84;;1;;0;
2018-01-31;;;1605,43;1613,16;1592,39;1593,15;;1;;0;
2018-01-30;;;1609,70;1612,24;1602,29;1603,31;;1;;0;
2018-01-29;;;1611,90;1620,46;1608,51;1610,40;;1;;0;
2018-01-26;;;1606,61;1614,60;1601,73;1612,63;;1;;0;
2018-01-25;;;1630,00;1630,00;1600,89;1604,49;;1;;0;
2018-01-24;;;1644,24;1645,06;1629,98;1631,20;;1;;0;
2018-01-23;;;1636,77;1647,69;1636,77;1643,71;;1;;0;
2018-01-22;;;1631,15;1639,05;1628,70;1635,47;;1;;0;
2018-01-19;;;1624,12;1631,63;1623,63;1630,62;;1;;0;
2018-01-18;;;1623,19;1630,53;1619,88;1624,78;;1;;0;
2018-01-17;;;1623,05;1629,67;1614,46;1622,85;;1;;0;
2018-01-16;;;1626,80;1630,01;1620,46;1623,33;;1;;0;
2018-01-15;;;1628,40;1630,22;1622,93;1627,29;;1;;0;
2018-01-12;;;1630,99;1634,58;1621,24;1628,40;;1;;0;
2018-01-11;;;1629,75;1632,90;1620,52;1630,29;;1;;0;
2018-01-10;;;1631,78;1631,91;1621,85;1629,29;;1;;0;
2018-01-09;;;1618,90;1633,96;1618,90;1632,29;;1;;0;
2018-01-08;;;1612,98;1622,41;1612,98;1619,13;;1;;0;
2018-01-05;;;1604,08;1611,31;1604,08;1611,31;;1;;0;
2018-01-04;;;1587,88;1606,71;1587,88;1603,67;;1;;0;
2018-01-03;;;1580,21;1591,10;1577,61;1587,56;;1;;0;
2018-01-02;;;1577,08;1583,38;1573,76;1579,82;;1;;0;
2017-12-29;;;1588,56;1591,58;1573,56;1576,94;;1;;0;
2017-12-28;;;1594,95;1594,95;1584,25;1588,51;;1;;0;
2017-12-27;;;1606,36;1613,76;1589,78;1594,99;;1;;0;
2017-12-22;;;1615,97;1616,22;1602,11;1606,25;;1;;0;
2017-12-21;;;1599,99;1616,98;1593,26;1616,27;;1;;0;
2017-12-20;;;1611,87;1613,69;1597,42;1600,29;;1;;0;
2017-12-19;;;1615,48;1620,57;1610,62;1611,43;;1;;0;
2017-12-18;;;1593,71;1616,26;1593,71;1615,63;;1;;0;
2017-12-15;;;1609,39;1610,59;1585,79;1594,35;;1;;0;
2017-12-14;;;1618,01;1622,08;1609,60;1609,60;;1;;0;
2017-12-13;;;1623,75;1624,32;1584,53;1619,82;;1;;0;
2017-12-12;;;1620,79;1625,05;1612,97;1623,75;;1;;0;
2017-12-11;;;1610,93;1627,94;1610,93;1619,47;;1;;0;
2017-12-08;;;1599,57;1621,38;1599,57;1610,82;;1;;0;
2017-12-07;;;1596,28;1606,94;1594,77;1599,29;;1;;0;
2017-12-06;;;1609,21;1609,21;1591,25;1595,44;;1;;0;
2017-12-05;;;1616,62;1620,45;1607,03;1613,36;;1;;0;
2017-12-04;;;1595,59;1624,05;1595,59;1616,80;;1;;0;
2017-12-01;;;1609,25;1611,07;1592,20;1592,20;;1;;0;
2017-11-30;;;1613,56;1624,47;1609,10;1610,11;;1;;0;
2017-11-29;;;1621,08;1628,76;1613,56;1613,56;;1;;0;
2017-11-28;;;1608,74;1622,11;1608,31;1620,81;;1;;0;
2017-11-27;;;1614,62;1618,85;1607,15;1608,74;;1;;0;
2017-11-24;;;1612,57;1620,25;1606,60;1614,62;;1;;0;
2017-11-23;;;1616,64;1616,79;1607,64;1612,57;;1;;0;
2017-11-22;;;1636,65;1637,99;1617,52;1617,52;;1;;0;
2017-11-21;;;1623,54;1639,92;1618,65;1636,65;;1;;0;
2017-11-20;;;1617,70;1626,02;1607,77;1623,54;;1;;0;
2017-11-17;;;1633,66;1633,94;1613,90;1617,70;;1;;0;
2017-11-16;;;1627,16;1636,96;1624,89;1633,66;;1;;0;
2017-11-15;;;1628,48;1628,48;1612,49;1627,00;;1;;0;
2017-11-14;;;1630,51;1635,55;1623,09;1628,48;;1;;0;
2017-11-13;;;1634,68;1634,87;1618,46;1630,51;;1;;0;
2017-11-10;;;1643,26;1646,15;1634,22;1634,68;;1;;0;
2017-11-09;;;1662,99;1662,99;1641,19;1643,26;;1;;0;
2017-11-08;;;1670,24;1672,76;1657,13;1662,99;;1;;0;
2017-11-07;;;1676,27;1681,67;1669,98;1670,24;;1;;0;
2017-11-06;;;1677,36;1681,75;1671,60;1676,14;;1;;0;
2017-11-03;;;1672,78;1678,45;1672,78;1677,65;;1;;0;
2017-11-02;;;1672,03;1674,77;1665,42;1672,78;;1;;0;
2017-11-01;;;1671,63;1681,13;1671,32;1672,03;;1;;0;
2017-10-31;;;1662,32;1675,61;1662,32;1671,63;;1;;0;
2017-10-30;;;1665,02;1667,26;1659,46;1662,32;;1;;0;
2017-10-27;;;1659,04;1666,07;1658,79;1665,02;;1;;0;
2017-10-26;;;1649,74;1659,65;1641,28;1658,79;;1;;0;
2017-10-25;;;1650,47;1657,42;1642,19;1649,74;;1;;0;
2017-10-24;;;1661,54;1661,54;1644,73;1650,47;;1;;0;
2017-10-23;;;1667,50;1669,42;1660,80;1661,54;;1;;0;
2017-10-20;;;1646,96;1671,41;1646,68;1667,50;;1;;0;
2017-10-19;;;1644,73;1647,32;1635,46;1646,96;;1;;0;
2017-10-18;;;1636,94;1648,70;1634,21;1644,73;;1;;0;
2017-10-17;;;1638,33;1641,30;1636,09;1636,94;;1;;0;
2017-10-16;;;1642,49;1644,19;1637,37;1638,33;;1;;0;
2017-10-13;;;1644,65;1644,84;1638,62;1642,49;;1;;0;
2017-10-12;;;1642,29;1649,42;1637,80;1644,65;;1;;0;
2017-10-11;;;1644,34;1647,22;1638,22;1641,70;;1;;0;
2017-10-10;;;1647,92;1651,13;1642,21;1644,34;;1;;0;
2017-10-09;;;1646,28;1653,76;1646,28;1647,92;;1;;0;
2017-10-06;;;1653,15;1655,17;1643,20;1646,28;;1;;0;
